,date,day,temp_high,temp_low,rain_amt,brooklyn_bridge,manhattan_bridge,williamsburg_bridge,queensboro_bridge,total_cyclists
0,301,6,46.0,37.0,0.0,606,1446,1915,1430,5397
1,302,0,62.1,41.0,0.0,2021,3943,4207,2862,13033
2,303,1,63.0,50.0,0.03,2470,4988,5178,3689,16325
3,304,2,51.1,46.0,1.18,723,1913,2279,1666,6581
4,305,3,63.0,46.0,0.0,2807,5276,5711,4197,17991
5,306,4,48.9,41.0,0.73,461,1324,1739,1372,4896
6,307,5,48.0,43.0,-0.1,1222,2955,3399,2765,10341
7,308,6,55.9,39.9,0.0,1674,3163,4082,2691,11610
8,309,0,66.0,45.0,0.0,2375,4377,4886,3261,14899
9,310,1,73.9,55.0,0.0,3324,6359,6881,4731,21295
10,311,2,80.1,62.1,0.0,3887,7247,8079,5501,24714
11,312,3,73.9,57.9,0.02,2565,5633,6620,4537,19355
12,313,4,64.0,48.9,0.0,3353,6052,6775,4700,20880
13,314,5,64.9,48.9,0.0,2942,5054,5877,4142,18015
14,315,6,64.9,52.0,0.0,2253,3853,4965,3291,14362
15,316,0,84.9,62.1,-0.1,2877,4585,5259,3687,16408
16,317,1,73.9,64.0,-0.1,3152,6352,6924,4658,21086
17,318,2,66.0,50.0,0.0,3415,6691,7341,5012,22459
18,319,3,52.0,45.0,-0.1,1965,4632,5234,3996,15827
19,320,4,64.9,50.0,0.17,1567,3365,4302,3056,12290
20,321,5,53.1,48.0,0.29,1426,3142,3674,2672,10914
21,322,6,55.9,52.0,0.11,1318,2297,2963,2366,8944
22,323,0,64.9,46.9,0.0,2520,4681,5105,3434,15740
23,324,1,60.1,50.0,-0.1,2544,5366,5762,4183,17855
24,325,2,54.0,50.0,0.91,611,1402,1902,1578,5493
25,326,3,59.0,54.0,0.34,1247,2774,3429,2369,9819
26,327,4,68.0,59.0,0.0,2959,5311,6026,4285,18581
27,328,5,82.9,57.9,0.0,3679,6774,7196,5138,22787
28,329,6,84.0,64.0,0.06,3315,5605,6045,4078,19043
29,330,0,64.0,54.0,0.0,2225,4057,4513,3137,13932
